competition,season,referee,red_card_home,red_card_away,total_red_card_1t,total_red_card_2t,total_red_card_match,total_yel_card_home,total_yel_card_away,total_yel_card_match,total_yel_card_1t,total_yel_card_2t,total_first_yel_card,total_first_yel_card_home,total_first_yel_card_away,total_second_yel_card,total_second_yel_card_home,total_second_yel_card_away,total_expulsions,total_tackle,total_fk_foul,total_penalty_match,total_hand_ball,total_fouls_home,total_fouls_away,total_fouls_match,foul_per_tackle,fk_per_tackle
champions_league,2020/2021,Halil Umut Meler,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,14.0,0.0,1.0,8.0,7.0,15.0,0.4411764705882353,0.4117647058823529
champions_league,2020/2021,István Kovács,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,27.666666666666668,21.666666666666668,0.3333333333333333,1.0,13.333333333333334,9.333333333333334,22.666666666666668,0.9285250162443144,0.8791423001949318
champions_league,2020/2021,Ivan Kruzliak,0.0,0.0,0.0,0.0,0.0,2.5,2.0,4.5,1.5,3.0,4.0,2.5,1.5,0.5,0.0,0.5,0.5,28.0,23.5,0.5,0.5,12.0,12.0,24.0,0.8641025641025641,0.844871794871795
champions_league,2020/2021,Jesús Gil Manzano,0.0,0.0,0.0,0.0,0.0,2.5,3.5,6.0,2.0,4.0,6.0,2.5,3.5,0.0,0.0,0.0,0.0,28.5,26.5,1.0,2.5,14.0,15.0,29.0,1.012962962962963,0.924074074074074
champions_league,2020/2021,Marco Guida,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,24.0,0.0,0.0,10.0,14.0,24.0,0.8571428571428571,0.8571428571428571
champions_league,2020/2021,Matej Jug,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,32.0,27.5,1.0,0.0,13.0,14.5,27.5,0.859375,0.859375
champions_league,2020/2021,Michael Oliver,0.0,0.0,0.0,0.0,0.0,1.0,2.6666666666666665,3.6666666666666665,2.0,1.6666666666666667,3.6666666666666665,1.0,2.6666666666666665,0.0,0.0,0.0,0.0,25.333333333333332,18.333333333333332,0.6666666666666666,0.0,10.0,8.333333333333334,18.333333333333332,0.7260869565217392,0.7260869565217392
champions_league,2020/2021,Orel Grinfeld,0.0,0.0,0.0,0.0,0.0,3.0,1.25,4.25,0.75,3.5,4.0,2.75,1.25,0.25,0.25,0.0,0.25,32.5,24.75,0.0,0.75,11.75,13.75,25.5,0.7990872210953347,0.7755958417849897
champions_league,2020/2021,Ovidiu Hategan,0.0,0.0,0.0,0.0,0.0,0.5,2.1666666666666665,2.6666666666666665,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.5,2.1666666666666665,0.0,0.0,0.0,0.0,26.833333333333332,22.833333333333332,0.16666666666666666,0.8333333333333334,12.833333333333334,10.833333333333334,23.666666666666668,0.886472483455242,0.8572361546499477
champions_league,2020/2021,Pavel Královec,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,27.0,1.0,2.0,10.0,19.0,29.0,1.16,1.08
champions_league,2020/2021,Pawel Raczkowski,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,27.0,22.0,1.0,0.0,11.0,11.0,22.0,0.8148148148148148,0.8148148148148148
champions_league,2020/2021,Sandro Schärer,0.5,0.0,0.0,0.5,0.5,1.0,2.5,3.5,1.0,2.5,3.5,1.0,2.5,0.0,0.0,0.0,0.5,36.0,22.5,1.0,0.5,13.0,10.0,23.0,0.6456876456876457,0.6305361305361306
champions_league,2020/2021,Serdar Gözübüyük,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.0,2.3333333333333335,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,32.666666666666664,23.333333333333332,0.3333333333333333,1.6666666666666667,12.666666666666666,12.333333333333334,25.0,0.8022941970310392,0.744457297088876
champions_league,2020/2021,Sergey Karasev,0.0,0.5,0.0,0.5,0.5,1.5,1.0,2.5,1.0,1.5,2.5,1.5,1.0,0.0,0.0,0.0,0.5,29.0,18.0,0.5,0.0,9.0,9.0,18.0,0.6379928315412187,0.6379928315412187
champions_league,2020/2021,Slavko Vincic,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.25,2.75,4.0,3.0,1.0,0.0,0.0,0.0,0.0,24.5,24.5,0.0,0.75,11.5,13.75,25.25,1.0399407171775594,1.0036249277038751
